Date,City,Temperature_F,Humidity_Percent,Wind_MPH,Pressure_hPa,Precipitation_Inches
2026-03-01,Hamden CT,42,65,10,1014,0.0
2026-03-02,Hamden CT,38,72,14,1008,0.3
2026-03-03,Hamden CT,45,60,8,1016,0.0
2026-03-04,Hamden CT,50,55,6,1020,0.0
2026-03-05,Hamden CT,35,78,18,1004,0.6
2026-03-06,Hamden CT,32,82,16,1006,0.4
2026-03-07,Hamden CT,40,68,12,1012,0.1
2026-03-08,Hamden CT,44,62,9,1015,0.0
2026-03-09,Hamden CT,48,58,7,1018,0.0
2026-03-10,Hamden CT,52,54,10,1019,0.0
2026-03-11,Hamden CT,46,66,14,1012,0.2
2026-03-12,Hamden CT,41,70,16,1008,0.5
2026-03-13,Hamden CT,38,75,20,1005,0.8
2026-03-14,Hamden CT,36,80,18,1003,1.2
2026-03-15,Hamden CT,42,68,12,1010,0.1
2026-03-16,Hamden CT,47,60,8,1016,0.0
2026-03-17,Hamden CT,51,55,6,1020,0.0
2026-03-18,Hamden CT,55,50,5,1022,0.0
2026-03-19,Hamden CT,53,52,8,1019,0.0
2026-03-20,Hamden CT,49,58,11,1015,0.0
